condition,N_hidden_total,K,seeds_observed,seeds_passing,required_seed_passes,pass_reliability,minimum_worst_query_balanced_accuracy,minimum_exact_trial_accuracy
shared_temporal_fixed,6,3,3,3,3,True,1.0,1.0
shared_temporal_fixed,6,4,3,2,3,False,0.87255859375,0.78759765625
shared_temporal_fixed,6,6,3,3,3,True,0.982421875,0.96630859375
shared_temporal_fixed,6,8,3,3,3,True,0.984375,0.9677734375
shared_temporal_fixed,6,12,3,0,3,False,0.75,0.14111328125
shared_temporal_fixed,6,16,3,0,3,False,0.5,0.0009765625
shared_temporal_fixed,8,1,3,3,3,True,1.0,1.0
shared_temporal_fixed,8,2,3,3,3,True,1.0,1.0
shared_temporal_fixed,8,3,3,3,3,True,1.0,1.0
shared_temporal_fixed,8,4,3,3,3,True,1.0,1.0
shared_temporal_fixed,8,6,3,3,3,True,0.99267578125,0.98876953125
shared_temporal_fixed,8,8,3,3,3,True,0.982421875,0.9677734375
shared_temporal_fixed,8,12,3,0,3,False,0.763671875,0.19140625
shared_temporal_fixed,8,16,3,0,3,False,0.548828125,0.00390625
shared_temporal_fixed,12,1,3,3,3,True,1.0,1.0
shared_temporal_fixed,12,2,3,3,3,True,1.0,1.0
shared_temporal_fixed,12,3,3,3,3,True,1.0,1.0
shared_temporal_fixed,12,4,3,3,3,True,1.0,1.0
shared_temporal_fixed,12,6,3,3,3,True,0.99951171875,0.99951171875
shared_temporal_fixed,12,8,3,3,3,True,0.99609375,0.9921875
shared_temporal_fixed,12,12,3,0,3,False,0.90380859375,0.52099609375
shared_temporal_fixed,12,16,3,0,3,False,0.705078125,0.07861328125
shared_temporal_fixed,16,1,3,3,3,True,1.0,1.0
shared_temporal_fixed,16,2,3,3,3,True,1.0,1.0
shared_temporal_fixed,16,3,3,3,3,True,1.0,1.0
shared_temporal_fixed,16,4,3,3,3,True,1.0,1.0
shared_temporal_fixed,16,6,3,3,3,True,0.99951171875,0.99951171875
shared_temporal_fixed,16,8,3,3,3,True,0.9970703125,0.99658203125
shared_temporal_fixed,16,12,3,1,3,False,0.9619140625,0.8017578125
shared_temporal_fixed,16,16,3,0,3,False,0.72119140625,0.12841796875
shared_temporal_fixed,24,1,3,3,3,True,1.0,1.0
shared_temporal_fixed,24,2,3,3,3,True,1.0,1.0
shared_temporal_fixed,24,3,3,3,3,True,1.0,1.0
shared_temporal_fixed,24,4,3,3,3,True,1.0,1.0
shared_temporal_fixed,24,6,3,3,3,True,1.0,1.0
shared_temporal_fixed,24,8,3,3,3,True,0.99853515625,0.99853515625
shared_temporal_fixed,24,12,3,3,3,True,0.984375,0.93408203125
shared_temporal_fixed,24,16,3,0,3,False,0.875,0.41748046875
shared_temporal_fixed,32,1,3,3,3,True,1.0,1.0
shared_temporal_fixed,32,2,3,3,3,True,1.0,1.0
shared_temporal_fixed,32,3,3,3,3,True,1.0,1.0
shared_temporal_fixed,32,4,3,3,3,True,1.0,1.0
shared_temporal_fixed,32,6,3,3,3,True,1.0,1.0
shared_temporal_fixed,32,8,3,3,3,True,1.0,1.0
shared_temporal_fixed,32,12,3,3,3,True,0.9912109375,0.970703125
shared_temporal_fixed,32,16,3,0,3,False,0.93310546875,0.62548828125
