candidate_label,event_budget_label,r_on_hz,N,w,T,seed,worst_query_balanced_accuracy,exact_trial_accuracy,mean_balanced_accuracy,per_query_balanced_accuracy,window_activity_fraction,minimum_window_activity_fraction,oracle_schedule_exact,mean_input_events,neuron_update_proxy,run_dir
event8_N120_w4,event8,990.0,120,4,30,3301,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99853515625,3600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T30_N120_w4_seed3301
event8_N120_w4,event8,990.0,120,4,30,3313,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99521484375,3600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T30_N120_w4_seed3313
event8_N120_w4,event8,990.0,120,4,30,3323,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99833984375,3600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T30_N120_w4_seed3323
event8_N120_w6,event8,990.0,120,6,40,3301,0.9996744394302368,0.99951171875,0.9999348878860473,"[1.0, 1.0, 1.0, 1.0, 0.9996744394302368]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99853515625,4800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T40_N120_w6_seed3301
event8_N120_w6,event8,990.0,120,6,40,3313,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99521484375,4800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T40_N120_w6_seed3313
event8_N120_w6,event8,990.0,120,6,40,3323,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99833984375,4800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T40_N120_w6_seed3323
event8_N120_w8,event8,990.0,120,8,50,3301,0.9996744394302368,0.99951171875,0.9999348878860473,"[1.0, 1.0, 1.0, 1.0, 0.9996744394302368]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99853515625,6000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T50_N120_w8_seed3301
event8_N120_w8,event8,990.0,120,8,50,3313,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99521484375,6000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T50_N120_w8_seed3313
event8_N120_w8,event8,990.0,120,8,50,3323,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99833984375,6000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T50_N120_w8_seed3323
event8_N120_w12,event8,990.0,120,12,70,3301,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99853515625,8400,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T70_N120_w12_seed3301
