protocol_id,path,loss_mode,learning_rate,target_nominal_delay_steps,target_arrival_step,initial_raw,d_max_steps,total_steps,input_spike_step,optimizer_steps,direct_delay_supervision,stochastic_seed,test_split_opened,initial_delay_steps,final_delay_steps,final_nominal_delay_error_steps,initial_output_arrival_centroid,final_output_arrival_centroid,final_output_arrival_error_steps,initial_output_trace_mass,final_output_trace_mass,final_output_spike_count,final_loss,initial_raw_gradient,final_raw_gradient,convergence_step,recovered_within_0p1_arrival_step,complete
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,1.0,4.0,-2.0,8,16,2,200,False,,False,0.953623354434967,0.9999980926513672,1.9073486328125e-06,3.9536232948303223,3.999998092651367,1.9073486328125e-06,1.0,1.0,,2.643703398558239e-13,-0.005673091392964125,-2.427657932457805e-07,0,True,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,1.0,4.0,0.0,8,16,2,200,False,,False,4.0,4.271042823791504,3.271042823791504,7.0,7.271042823791504,3.271042823791504,1.0,1.0,,0.15508681535720825,-0.09238210320472717,-0.013423483818769455,,False,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,1.0,4.0,2.0,8,16,2,200,False,,False,7.0463762283325195,7.1855669021606445,6.1855669021606445,10.04637622833252,10.185566902160645,6.1855669021606445,1.0,1.0,,0.21087974309921265,-0.04859549552202225,-0.027567865327000618,,False,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,1.0,4.0,4.0,8,16,2,200,False,,False,7.856110095977783,7.824141025543213,6.824141025543213,10.856110572814941,10.824141502380371,6.824141502380371,1.0,1.0,,0.21635931730270386,0.008404653519392014,0.009433415718376637,,False,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,5.0,8.0,-4.0,8,16,2,200,False,,False,0.1438896805047989,0.17595060169696808,4.824049398303032,3.1438896656036377,3.175950527191162,4.824049472808838,1.0,1.0,,0.19404178857803345,-0.010030455887317657,-0.011411866173148155,,False,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,5.0,8.0,-2.0,8,16,2,200,False,,False,0.953623354434967,0.8176581263542175,4.1823418736457825,3.9536232948303223,3.8176581859588623,4.182341814041138,1.0,1.0,,0.18147127330303192,0.03942713886499405,0.019922079518437386,,False,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,5.0,8.0,0.0,8,16,2,200,False,,False,4.0,4.3629841804504395,0.6370158195495605,7.0,7.3629841804504395,0.6370158195495605,1.0,1.0,,0.029529865831136703,-0.29108577966690063,-0.18389928340911865,,False,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,5.0,8.0,2.0,8,16,2,200,False,,False,7.0463762283325195,7.171954154968262,2.1719541549682617,10.04637622833252,10.171954154968262,2.1719541549682617,1.0,1.0,,0.1203366070985794,-0.024878542870283127,-0.008479067124426365,,False,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,5.0,8.0,4.0,8,16,2,200,False,,False,7.856110095977783,7.823955059051514,2.8239550590515137,10.856110572814941,10.823954582214355,2.8239545822143555,1.0,1.0,,0.1436895728111267,0.012394476681947708,0.014299975708127022,,False,True
delay_temporal_credit_level0b_v1,buffer_current,filtered_trace,0.001,7.0,10.0,-4.0,8,16,2,200,False,,False,0.1438896805047989,0.17587606608867645,6.8241239339113235,3.1438896656036377,3.1758761405944824,6.824123859405518,1.0,1.0,,0.2178039252758026,-0.00869826041162014,-0.009787296876311302,,False,True
