run_path,setting,K,hidden_size,readout_type,condition,seed,evaluation_split,accuracy,worst_query_accuracy,exact_trial_accuracy,balanced_accuracy,mean_hidden_spikes,trainable_parameters,delay_value_storage_elements,trainable_delay_parameters,model_scalar_storage_elements,neuron_updates_per_trial,dense_synapse_macs_per_trial,decoder_weight_macs_per_trial,mean_synaptic_events_total
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,4,50,linear,d0,0,val,0.7304999828338623,0.6460000276565552,0.25600001215934753,0.7293002009391785,13.395999908447266,304,100,0,404,2500,5000,200,597.3000049591064
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,4,50,linear,d0,1,val,0.7250000238418579,0.6899999976158142,0.21400000154972076,0.7220368385314941,6.638000011444092,304,100,0,404,2500,5000,200,602.400016784668
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,4,50,linear,d0,2,val,0.6909999847412109,0.6179999709129333,0.20000000298023224,0.6894921064376831,22.76799964904785,304,100,0,404,2500,5000,200,596.999979019165
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,4,50,linear,d0,3,val,0.7179999947547913,0.628000020980835,0.23399999737739563,0.717035323381424,17.4060001373291,304,100,0,404,2500,5000,200,598.0000019073486
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed42_thr0.3_obsall_time_rolinear,stress,4,50,linear,d0,42,val,0.7024999856948853,0.6480000019073486,0.22200000286102295,0.7050688862800598,18.56999969482422,304,100,0,404,2500,5000,200,602.899980545044
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,3,35,mlp,fixed_heterogeneous,0,val,0.8613333106040955,0.8360000252723694,0.6439999938011169,0.8635031978289286,9.503999710083008,1438,70,0,1508,1400,2800,1330,311.91998958587646
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,3,35,linear,fixed_heterogeneous,0,val,0.6620000004768372,0.6259999871253967,0.2840000092983246,0.6678271293640137,10.043999671936035,178,70,0,248,1400,2800,105,311.91998958587646
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,3,35,mlp,fixed_heterogeneous,1,val,0.8999999761581421,0.7519999742507935,0.699999988079071,0.9001115957895914,6.052000045776367,1438,70,0,1508,1400,2800,1330,316.19001388549805
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,3,35,linear,fixed_heterogeneous,1,val,0.70333331823349,0.6119999885559082,0.29600000381469727,0.7045727372169495,6.868000030517578,178,70,0,248,1400,2800,105,316.19001388549805
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,3,35,mlp,fixed_heterogeneous,2,val,0.8786666393280029,0.7059999704360962,0.6579999923706055,0.8800589442253113,7.245999813079834,1438,70,0,1508,1400,2800,1330,311.9899845123291
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,3,35,linear,fixed_heterogeneous,2,val,0.6573333144187927,0.5740000009536743,0.2939999997615814,0.6610870162645975,6.728000164031982,178,70,0,248,1400,2800,105,311.9899845123291
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,3,35,mlp,fixed_heterogeneous,3,val,0.9200000166893005,0.800000011920929,0.7720000147819519,0.9188309113184611,12.871999740600586,1438,70,0,1508,1400,2800,1330,316.53998851776123
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,3,35,linear,fixed_heterogeneous,3,val,0.7480000257492065,0.7139999866485596,0.4059999883174896,0.7468019127845764,11.62600040435791,178,70,0,248,1400,2800,105,316.53998851776123
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,3,35,mlp,fixed_heterogeneous,42,val,0.9793333411216736,0.9520000219345093,0.9520000219345093,0.9793731570243835,10.51200008392334,1438,70,0,1508,1400,2800,1330,315.8400058746338
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,3,35,linear,fixed_heterogeneous,42,val,0.734666645526886,0.6959999799728394,0.43799999356269836,0.7347484032313029,10.510000228881836,178,70,0,248,1400,2800,105,315.8400058746338
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,4,50,linear,fixed_heterogeneous,0,val,0.699999988079071,0.6660000085830688,0.23000000417232513,0.6969019174575806,14.284000396728516,304,100,0,404,2500,5000,200,597.3000049591064
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,4,50,linear,fixed_heterogeneous,1,val,0.6955000162124634,0.6299999952316284,0.18400000035762787,0.6960448324680328,9.347999572753906,304,100,0,404,2500,5000,200,602.400016784668
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,4,50,linear,fixed_heterogeneous,2,val,0.7005000114440918,0.671999990940094,0.23999999463558197,0.7010617107152939,20.639999389648438,304,100,0,404,2500,5000,200,596.999979019165
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,4,50,linear,fixed_heterogeneous,3,val,0.6165000200271606,0.5619999766349792,0.11999999731779099,0.6159265786409378,13.236000061035156,304,100,0,404,2500,5000,200,598.0000019073486
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed42_thr0.3_obsall_time_rolinear,stress,4,50,linear,fixed_heterogeneous,42,val,0.7390000224113464,0.7099999785423279,0.26600000262260437,0.7378953546285629,13.62399959564209,304,100,0,404,2500,5000,200,602.899980545044
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,3,35,mlp,scalar,0,val,0.8460000157356262,0.7960000038146973,0.6420000195503235,0.8439993858337402,11.161999702453613,1439,1,1,1439,1400,2800,1330,311.91998958587646
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,3,35,linear,scalar,0,val,0.7226666808128357,0.6899999976158142,0.4000000059604645,0.7266642451286316,12.166000366210938,179,1,1,179,1400,2800,105,311.91998958587646
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,3,35,mlp,scalar,1,val,0.8240000009536743,0.7179999947547913,0.5580000281333923,0.8256489833196005,8.833999633789062,1439,1,1,1439,1400,2800,1330,316.19001388549805
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,3,35,linear,scalar,1,val,0.7720000147819519,0.6959999799728394,0.42800000309944153,0.7743308544158936,7.426000118255615,179,1,1,179,1400,2800,105,316.19001388549805
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,3,35,mlp,scalar,2,val,0.8619999885559082,0.8240000009536743,0.6600000262260437,0.8637300332387289,9.244000434875488,1439,1,1,1439,1400,2800,1330,311.9899845123291
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,3,35,linear,scalar,2,val,0.7900000214576721,0.699999988079071,0.5040000081062317,0.7926317652066549,9.057999610900879,179,1,1,179,1400,2800,105,311.9899845123291
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,3,35,mlp,scalar,3,val,0.8166666626930237,0.7480000257492065,0.5419999957084656,0.8197298049926758,11.8100004196167,1439,1,1,1439,1400,2800,1330,316.53998851776123
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,3,35,linear,scalar,3,val,0.7633333206176758,0.7300000190734863,0.4180000126361847,0.7628381649653116,14.145999908447266,179,1,1,179,1400,2800,105,316.53998851776123
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,3,35,mlp,scalar,42,val,0.9086666703224182,0.8159999847412109,0.7739999890327454,0.9088687499364217,13.501999855041504,1439,1,1,1439,1400,2800,1330,315.8400058746338
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,3,35,linear,scalar,42,val,0.7433333396911621,0.6800000071525574,0.3959999978542328,0.7457836667696635,11.121999740600586,179,1,1,179,1400,2800,105,315.8400058746338
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,4,50,linear,scalar,0,val,0.7200000286102295,0.6480000019073486,0.23600000143051147,0.7188681811094284,12.107999801635742,305,1,1,305,2500,5000,200,597.3000049591064
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,4,50,linear,scalar,1,val,0.7024999856948853,0.6779999732971191,0.17399999499320984,0.70012266933918,7.389999866485596,305,1,1,305,2500,5000,200,602.400016784668
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,4,50,linear,scalar,2,val,0.6974999904632568,0.6259999871253967,0.23600000143051147,0.6969779133796692,22.625999450683594,305,1,1,305,2500,5000,200,596.999979019165
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,4,50,linear,scalar,3,val,0.7289999723434448,0.6880000233650208,0.24400000274181366,0.7276854664087296,15.892000198364258,305,1,1,305,2500,5000,200,598.0000019073486
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed42_thr0.3_obsall_time_rolinear,stress,4,50,linear,scalar,42,val,0.7049999833106995,0.6200000047683716,0.2199999988079071,0.7038995176553726,16.31999969482422,305,1,1,305,2500,5000,200,602.899980545044
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,3,35,mlp,w_and_d,0,val,0.8713333606719971,0.8339999914169312,0.6940000057220459,0.872746745745341,11.501999855041504,1508,70,70,1508,1400,2800,1330,311.91998958587646
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,3,35,linear,w_and_d,0,val,0.7620000243186951,0.6620000004768372,0.4480000138282776,0.7667316397031149,11.14799976348877,248,70,70,248,1400,2800,105,311.91998958587646
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,3,35,mlp,w_and_d,1,val,0.8253333568572998,0.6700000166893005,0.5580000281333923,0.8256513873736063,7.105999946594238,1508,70,70,1508,1400,2800,1330,316.19001388549805
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,3,35,linear,w_and_d,1,val,0.7599999904632568,0.6359999775886536,0.4320000112056732,0.7616193294525146,7.331999778747559,248,70,70,248,1400,2800,105,316.19001388549805
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,3,35,mlp,w_and_d,2,val,0.843999981880188,0.7940000295639038,0.6660000085830688,0.8475823402404785,8.930000305175781,1508,70,70,1508,1400,2800,1330,311.9899845123291
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,3,35,linear,w_and_d,2,val,0.7506666779518127,0.6700000166893005,0.44200000166893005,0.7485048373540243,7.659999847412109,248,70,70,248,1400,2800,105,311.9899845123291
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,3,35,mlp,w_and_d,3,val,0.8973333239555359,0.7699999809265137,0.699999988079071,0.8973508278528849,12.343999862670898,1508,70,70,1508,1400,2800,1330,316.53998851776123
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,3,35,linear,w_and_d,3,val,0.7753333449363708,0.6940000057220459,0.45399999618530273,0.7781984408696493,11.920000076293945,248,70,70,248,1400,2800,105,316.53998851776123
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,3,35,mlp,w_and_d,42,val,0.8766666650772095,0.7799999713897705,0.6679999828338623,0.8781992594401041,12.428000450134277,1508,70,70,1508,1400,2800,1330,315.8400058746338
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,3,35,linear,w_and_d,42,val,0.7593333125114441,0.7300000190734863,0.41200000047683716,0.760738213857015,11.20199966430664,248,70,70,248,1400,2800,105,315.8400058746338
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,4,50,linear,w_and_d,0,val,0.7279999852180481,0.6340000033378601,0.26600000262260437,0.7263778746128082,9.850000381469727,404,100,100,404,2500,5000,200,597.3000049591064
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,4,50,linear,w_and_d,1,val,0.7095000147819519,0.6480000019073486,0.18400000035762787,0.7060006558895111,7.552000045776367,404,100,100,404,2500,5000,200,602.400016784668
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,4,50,linear,w_and_d,2,val,0.6915000081062317,0.6200000047683716,0.1979999989271164,0.6906678974628448,21.47800064086914,404,100,100,404,2500,5000,200,596.999979019165
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,4,50,linear,w_and_d,3,val,0.7279999852180481,0.6520000100135803,0.24799999594688416,0.7266036868095398,15.300000190734863,404,100,100,404,2500,5000,200,598.0000019073486
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed42_thr0.3_obsall_time_rolinear,stress,4,50,linear,w_and_d,42,val,0.7195000052452087,0.6679999828338623,0.22599999606609344,0.7211544513702393,15.904000282287598,404,100,100,404,2500,5000,200,602.899980545044
