source_run,setting,readout_type,condition,seed,intervention,original_worst,intervention_worst,worst_drop,original_exact,intervention_exact,exact_drop
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,linear,scalar,0,late_window_probe,0.6899999976158142,0.5,0.1899999976158142,0.4000000059604645,0.1340000033378601,0.26600000262260437
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,mlp,scalar,1,late_window_probe,0.7179999947547913,0.5019999742507935,0.2160000205039978,0.5580000281333923,0.1340000033378601,0.4240000247955322
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,linear,scalar,1,late_window_probe,0.6959999799728394,0.46399998664855957,0.23199999332427979,0.42800000309944153,0.11999999731779099,0.30800000578165054
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,mlp,scalar,2,late_window_probe,0.8240000009536743,0.49399998784065247,0.33000001311302185,0.6600000262260437,0.1459999978542328,0.5140000283718109
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,linear,scalar,2,late_window_probe,0.699999988079071,0.49399998784065247,0.20600000023841858,0.5040000081062317,0.14399999380111694,0.36000001430511475
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,mlp,scalar,3,late_window_probe,0.7480000257492065,0.4959999918937683,0.25200003385543823,0.5419999957084656,0.13600000739097595,0.4059999883174896
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,linear,scalar,3,late_window_probe,0.7300000190734863,0.5360000133514404,0.1940000057220459,0.4180000126361847,0.17000000178813934,0.24800001084804535
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,mlp,scalar,42,late_window_probe,0.8159999847412109,0.5139999985694885,0.3019999861717224,0.7739999890327454,0.12800000607967377,0.6459999829530716
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,linear,scalar,42,late_window_probe,0.6800000071525574,0.4740000069141388,0.20600000023841858,0.3959999978542328,0.15199999511241913,0.24400000274181366
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,linear,scalar,0,late_window_probe,0.6480000019073486,0.4740000069141388,0.17399999499320984,0.23600000143051147,0.0560000017285347,0.17999999970197678
