N_hidden,w,T,worst_bacc,exact_trial,max_centroid_error,mechanism_valid,pass_90,N_times_T,neuron_updates_per_trial,dense_synapse_macs_per_trial,mean_synaptic_events_total,delay_buffer_elements_per_sample,model_scalar_storage_elements,bacc_q0,activity_q0,delay_q0,arrival_q0,bacc_q1,activity_q1,delay_q1,arrival_q1,bacc_q2,activity_q2,delay_q2,arrival_q2,bacc_q3,activity_q3,delay_q3,arrival_q3,bacc_q4,activity_q4,delay_q4,arrival_q4,bacc_q5,activity_q5,delay_q5,arrival_q5
6,5,40,0.998046875,0.9951171875,0.031213760375976562,True,True,240,240,5760,288.240234375,792,535,0.9990234375,1.0,4.012084484100342,12.512084484100342,0.998046875,1.0,8.998915672302246,17.498915672302246,0.99853515625,1.0,14.001608848571777,22.501608848571777,0.99951171875,0.85888671875,19.000944137573242,27.500944137573242,1.0,0.89697265625,23.99949073791504,32.49949073791504,0.9990234375,0.99853515625,28.968786239624023,37.46878623962402
6,6,46,0.99951171875,0.9990234375,0.09085845947265625,True,True,276,276,6624,288.240234375,936,535,0.9996744394302368,1.0,4.513373851776123,13.013373851776123,1.0,0.99951171875,10.500138282775879,19.00013828277588,1.0,1.0,16.50290870666504,25.00290870666504,0.99951171875,1.0,22.501527786254883,31.001527786254883,1.0,1.0,28.49945640563965,36.99945640563965,1.0,0.99609375,34.409141540527344,42.909141540527344
6,8,58,0.99951171875,0.9990234375,0.10200881958007812,True,True,348,348,8352,288.240234375,1224,535,1.0,1.0,5.5058417320251465,14.005841732025146,1.0,1.0,13.499299049377441,21.99929904937744,0.99951171875,1.0,21.497535705566406,29.997535705566406,1.0,0.99951171875,29.499570846557617,37.99957084655762,1.0,1.0,37.49797058105469,45.99797058105469,0.9996744394302368,0.99951171875,45.39799118041992,53.89799118041992
6,10,70,0.998046875,0.99658203125,0.19800186157226562,True,True,420,420,10080,288.240234375,1512,535,1.0,1.0,6.507735729217529,15.00773572921753,1.0,1.0,16.500194549560547,25.000194549560547,1.0,1.0,26.502878189086914,35.002878189086914,0.998046875,1.0,36.501529693603516,45.001529693603516,0.9993489980697632,1.0,46.49946594238281,54.99946594238281,0.9996744394302368,1.0,56.301998138427734,64.80199813842773
6,14,94,0.9996744394302368,0.99951171875,0.16297149658203125,True,True,564,564,13536,288.240234375,2088,535,1.0,1.0,8.513452529907227,17.013452529907227,1.0,1.0,22.49894905090332,30.99894905090332,1.0,1.0,36.50163269042969,45.00163269042969,1.0,1.0,50.50094223022461,59.00094223022461,1.0,1.0,64.49947357177734,72.99947357177734,0.9996744394302368,1.0,78.33702850341797,86.83702850341797
6,20,130,0.9990234375,0.998046875,0.47798919677734375,True,True,780,780,18720,288.240234375,2952,535,0.9996744394302368,1.0,11.50225830078125,20.00225830078125,0.9990234375,1.0,31.50022315979004,40.00022315979004,1.0,1.0,51.50289535522461,60.00289535522461,0.99951171875,1.0,71.50154113769531,80.00154113769531,1.0,1.0,91.49947357177734,99.99947357177734,0.9996744394302368,1.0,111.02201080322266,119.52201080322266
6,26,166,0.99951171875,0.99853515625,0.4570159912109375,True,True,996,996,23904,288.240234375,3816,535,1.0,0.99951171875,14.503806114196777,23.003806114196777,1.0,1.0,40.499412536621094,48.999412536621094,1.0,1.0,66.49749755859375,74.99749755859375,0.99951171875,1.0,92.49958038330078,100.99958038330078,0.9996744394302368,1.0,118.49795532226562,126.99795532226562,0.9996744394302368,1.0,144.04298400878906,152.54298400878906
8,4,34,0.99365234375,0.98681640625,0.042140960693359375,True,True,272,272,6528,384.3203125,648,679,0.9990234375,1.0,3.512197732925415,12.012197732925415,1.0,1.0,7.500061988830566,16.000061988830566,0.99365234375,1.0,11.502945899963379,20.00294589996338,0.99755859375,1.0,15.50153923034668,24.00153923034668,0.9990234375,1.0,19.49945068359375,27.99945068359375,0.9983724355697632,0.99951171875,23.45785903930664,31.95785903930664
8,5,40,0.99755859375,0.99560546875,0.045177459716796875,True,True,320,320,7680,384.3203125,792,679,1.0,1.0,3.9986989498138428,12.498698949813843,0.9990234375,1.0,8.999197959899902,17.499197959899902,0.9990234375,1.0,13.997498512268066,22.497498512268066,0.99755859375,1.0,18.99957275390625,27.49957275390625,0.9996744394302368,1.0,23.997957229614258,32.49795722961426,1.0,1.0,28.954822540283203,37.4548225402832
8,6,46,0.99951171875,0.9990234375,0.044342041015625,True,True,368,368,8832,384.3203125,936,679,1.0,1.0,4.509708881378174,13.009708881378174,1.0,1.0,10.49892520904541,18.99892520904541,0.99951171875,1.0,16.501619338989258,25.001619338989258,1.0,1.0,22.500932693481445,31.000932693481445,1.0,1.0,28.499479293823242,36.99947929382324,0.9996744394302368,0.99951171875,34.455657958984375,42.955657958984375
8,8,58,0.9990234375,0.99755859375,0.10180282592773438,True,True,464,464,11136,384.3203125,1224,679,1.0,1.0,5.505847930908203,14.005847930908203,0.9990234375,1.0,13.499299049377441,21.99929904937744,0.9990234375,1.0,21.49753189086914,29.99753189086914,0.99951171875,1.0,29.499568939208984,37.999568939208984,0.9996744394302368,1.0,37.49797439575195,45.99797439575195,1.0,0.9951171875,45.398197174072266,53.898197174072266
8,10,70,0.9996744394302368,0.99951171875,0.14171981811523438,True,True,560,560,13440,384.3203125,1512,679,1.0,1.0,6.510185241699219,15.010185241699219,1.0,1.0,16.499330520629883,24.999330520629883,1.0,1.0,26.49754524230957,34.99754524230957,1.0,1.0,36.499568939208984,44.999568939208984,0.9996744394302368,1.0,46.497982025146484,54.997982025146484,1.0,0.99072265625,56.358280181884766,64.85828018188477
8,14,94,1.0,1.0,0.302825927734375,True,True,752,752,18048,384.3203125,2088,679,1.0,1.0,8.498793601989746,16.998793601989746,1.0,1.0,22.500215530395508,31.000215530395508,1.0,1.0,36.50288772583008,45.00288772583008,1.0,1.0,50.50153350830078,59.00153350830078,1.0,1.0,64.49945831298828,72.99945831298828,1.0,0.98779296875,78.19717407226562,86.69717407226562
8,20,130,0.9990234375,0.99853515625,0.4784698486328125,True,True,1040,1040,24960,384.3203125,2952,679,1.0,1.0,11.502211570739746,20.002211570739746,0.9990234375,1.0,31.500226974487305,40.000226974487305,0.99951171875,1.0,51.50292205810547,60.00292205810547,1.0,1.0,71.50154876708984,80.00154876708984,0.9996744394302368,1.0,91.49945068359375,99.99945068359375,1.0,0.82568359375,111.02153015136719,119.52153015136719
8,26,166,0.9990234375,0.99853515625,0.4525299072265625,True,True,1328,1328,31872,384.3203125,3816,679,1.0,1.0,14.50391960144043,23.00391960144043,0.9990234375,1.0,40.499393463134766,48.999393463134766,0.99951171875,1.0,66.49752044677734,74.99752044677734,1.0,1.0,92.49960327148438,100.99960327148438,0.9996744394302368,0.99951171875,118.49793243408203,126.99793243408203,1.0,1.0,144.04747009277344,152.54747009277344
10,4,34,0.9977213144302368,0.9921875,0.028270721435546875,True,True,340,340,8160,480.400390625,648,823,1.0,1.0,3.499267101287842,11.999267101287842,0.9977213144302368,1.0,7.499127388000488,15.999127388000488,0.99853515625,1.0,11.49747371673584,19.99747371673584,0.99853515625,1.0,15.499578475952148,23.99957847595215,0.9993489980697632,1.0,19.497947692871094,27.997947692871094,0.9983724355697632,1.0,23.471729278564453,31.971729278564453
10,5,40,0.99853515625,0.99609375,0.06573104858398438,True,True,400,400,9600,480.400390625,792,823,1.0,1.0,4.012627124786377,12.512627124786377,0.9990234375,1.0,9.00010871887207,17.50010871887207,0.9990234375,1.0,14.002922058105469,22.50292205810547,0.99853515625,1.0,19.001537322998047,27.501537322998047,0.9993489980697632,1.0,23.999452590942383,32.49945259094238,1.0,1.0,28.934268951416016,37.434268951416016
