run_id,op,train_mode,hidden_size,seed,delay_param_type,delay_step,fixed_delay_value,test_acc,best_val_acc,best_val_epoch,final_train_acc,final_val_acc,mean_hidden_spikes,throughput_K_per_spk,ops_per_neuron_per_ms,mean_active_hidden_fraction
step1_NOR_delays_only_sigmoid_h10_seed42,NOR,delays_only,10,42,sigmoid,1.0,,0.7549999952316284,0.7666015625,17,0.7473632805049419,0.7666015625,0.2919999957084656,3.42465758457889,0.002,0.028699999675154686
step1_NOR_delays_only_sigmoid_h20_seed42,NOR,delays_only,20,42,sigmoid,1.0,,0.7559999823570251,0.7666015625,4,0.7467773444950581,0.7666015625,1.7230000495910645,0.5803830361103816,0.001,0.06424999982118607
step1_NOR_delays_only_sigmoid_h50_seed42,NOR,delays_only,50,42,sigmoid,1.0,,0.7559999823570251,0.7666015625,1,0.7475097663700581,0.7666015625,2.5920000076293945,0.38580246800021634,0.0004,0.04004000127315521
step1_NOR_weights_and_delays_sigmoid_h10_seed42,NOR,weights_and_delays,10,42,sigmoid,1.0,,0.9409999847412109,0.9476023763418198,196,0.9481445327401161,0.9418440163135529,9.687999725341797,0.10322048186935921,0.002,0.2947000563144684
step1_NOR_weights_and_delays_sigmoid_h20_seed42,NOR,weights_and_delays,20,42,sigmoid,1.0,,0.9860000014305115,0.9870016127824783,200,0.9849609397351742,0.9870016127824783,26.03499984741211,0.03840983314234205,0.001,0.43935003876686096
step1_NOR_weights_and_delays_sigmoid_h50_seed42,NOR,weights_and_delays,50,42,sigmoid,1.0,,0.9850000143051147,0.9949151426553726,167,0.9912109375,0.9910088926553726,39.65999984741211,0.02521432183175492,0.0004,0.31640002131462097
step1_NOR_weights_only_sigmoid_h10_seed42,NOR,weights_only,10,42,sigmoid,1.0,0.0,0.7549999952316284,0.7666015625,15,0.7473632805049419,0.7666015625,0.593999981880188,1.6835017348564563,0.002,0.050700005143880844
step1_NOR_weights_only_sigmoid_h20_seed42,NOR,weights_only,20,42,sigmoid,1.0,0.0,0.7559999823570251,0.7666015625,4,0.7467773444950581,0.7666015625,1.8589999675750732,0.5379236242292276,0.001,0.06870000809431076
step1_NOR_weights_only_sigmoid_h50_seed42,NOR,weights_only,50,42,sigmoid,1.0,0.0,0.7559999823570251,0.7666015625,2,0.7475097663700581,0.7666015625,2.878999948501587,0.347342833583746,0.0004,0.04413999989628792
step1_OR_delays_only_sigmoid_h10_seed42,OR,delays_only,10,42,sigmoid,1.0,,0.7559999823570251,0.7666015625,1,0.7473632805049419,0.7666015625,0.28299999237060547,3.5335689998550954,0.002,0.027900001034140587
step1_OR_delays_only_sigmoid_h20_seed42,OR,delays_only,20,42,sigmoid,1.0,,0.7559999823570251,0.7666015625,12,0.7467773444950581,0.7666015625,1.843000054359436,0.5425935813917085,0.001,0.06810000538825989
step1_OR_delays_only_sigmoid_h50_seed42,OR,delays_only,50,42,sigmoid,1.0,,0.7559999823570251,0.7666015625,9,0.7475097663700581,0.7666015625,2.507999897003174,0.39872409930913744,0.0004,0.039239998906850815
step1_OR_weights_and_delays_sigmoid_h10_seed42,OR,weights_and_delays,10,42,sigmoid,1.0,,0.9649999737739563,0.9746767282485962,200,0.9694335944950581,0.9746767282485962,18.804000854492188,0.05318017201435644,0.002,0.5913000702857971
step1_OR_weights_and_delays_sigmoid_h20_seed42,OR,weights_and_delays,20,42,sigmoid,1.0,,0.9779999852180481,0.9829943478107452,200,0.9800292961299419,0.9829943478107452,26.680999755859375,0.037479854921118216,0.001,0.4228500425815582
