run_id,op,train_mode,hidden_size,seed,delay_param_type,delay_step,fixed_delay_value,test_acc,mean_hidden_spikes,throughput_K_per_spk,ops_per_neuron_per_ms,mean_active_hidden_fraction
step1_XNOR_weights_and_delays_h50_seed42,XNOR,weights_and_delays,50,42,sigmoid,,,0.9520000219345093,19.615999221801758,0.050978794844596685,0.0,0.0
step1_XNOR_weights_only_h10_seed42,XNOR,weights_only,10,42,sigmoid,,,0.7689999938011169,3.9619998931884766,0.2523977857039354,0.0,0.0
step1_XNOR_weights_only_h20_seed42,XNOR,weights_only,20,42,sigmoid,,,0.8330000042915344,8.831999778747559,0.11322464051757565,0.0,0.0
step1_XNOR_weights_only_h50_seed42,XNOR,weights_only,50,42,sigmoid,,,0.8130000233650208,16.42099952697754,0.06089763283636491,0.0,0.0
step1_XOR_delays_only_h10_seed42,XOR,delays_only,10,42,sigmoid,,,0.5339999794960022,0.2619999945163727,3.816793973014793,0.0,0.0
step1_XOR_delays_only_h20_seed42,XOR,delays_only,20,42,sigmoid,,,0.6240000128746033,1.6100000143051147,0.6211180069036246,0.0,0.0
step1_XOR_delays_only_h50_seed42,XOR,delays_only,50,42,sigmoid,,,0.6019999980926514,2.5820000171661377,0.38729666667374596,0.0,0.0
step1_XOR_weights_and_delays_h10_seed42,XOR,weights_and_delays,10,42,sigmoid,,,0.8600000143051147,4.986000061035156,0.20056156994759192,0.0,0.0
step1_XOR_weights_and_delays_h20_seed42,XOR,weights_and_delays,20,42,sigmoid,,,0.902999997138977,7.790999889373779,0.12835322990620365,0.0,0.0
step1_XOR_weights_and_delays_h50_seed42,XOR,weights_and_delays,50,42,sigmoid,,,0.9319999814033508,19.718000411987305,0.05071508160594534,0.0,0.0
step1_XOR_weights_only_h10_seed42,XOR,weights_only,10,42,sigmoid,,,0.7850000262260437,4.75600004196167,0.2102607214417807,0.0,0.0
step1_XOR_weights_only_h20_seed42,XOR,weights_only,20,42,sigmoid,,,0.8130000233650208,6.428999900817871,0.15554518827613983,0.0,0.0
step1_XOR_weights_only_h50_seed42,XOR,weights_only,50,42,sigmoid,,,0.8259999752044678,15.37399959564209,0.0650448826786401,0.0,0.0
