condition,K,hidden_size,n_seeds,pooled_accuracy_mean,worst_query_accuracy_mean,worst_query_accuracy_min_seed,exact_trial_accuracy_mean,all_evaluated_seeds_pass_worst_tau,evidence_status,promotion_gate
w_and_d,4,60,2,0.8866250216960907,0.7510000169277191,0.7440000176429749,0.5954999923706055,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,75,2,0.9036250114440918,0.7759999930858612,0.7609999775886536,0.6410000026226044,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,100,2,0.9086250066757202,0.7970000207424164,0.7440000176429749,0.660999983549118,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,125,2,0.945499986410141,0.8264999985694885,0.7929999828338623,0.7910000085830688,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,150,2,0.9293749928474426,0.8135000169277191,0.7670000195503235,0.7384999990463257,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,10,2,0.8138000071048737,0.7380000054836273,0.7319999933242798,0.3669999986886978,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,15,2,0.8315999805927277,0.7380000054836273,0.7319999933242798,0.39400000870227814,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,20,2,0.8410000205039978,0.7504999935626984,0.7459999918937683,0.44200000166893005,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,25,2,0.8515999913215637,0.7384999990463257,0.7329999804496765,0.45250000059604645,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,30,2,0.8436000049114227,0.7380000054836273,0.7319999933242798,0.42500001192092896,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,40,2,0.8763999938964844,0.7380000054836273,0.7319999933242798,0.5020000040531158,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,50,2,0.8675000071525574,0.7380000054836273,0.7319999933242798,0.4650000035762787,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,60,2,0.882099986076355,0.7380000054836273,0.7319999933242798,0.5204999893903732,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,75,2,0.893200010061264,0.770499974489212,0.765999972820282,0.5944999754428864,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,100,2,0.8971999883651733,0.7409999966621399,0.7319999933242798,0.5625,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,125,2,0.9328999817371368,0.8174999952316284,0.8090000152587891,0.6914999783039093,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,5,150,2,0.9021999835968018,0.784500002861023,0.7490000128746033,0.6059999763965607,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,10,2,0.8152500092983246,0.7245000004768372,0.7080000042915344,0.2905000001192093,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,15,2,0.800166666507721,0.7245000004768372,0.7080000042915344,0.24950000643730164,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,20,2,0.8223333358764648,0.7245000004768372,0.7080000042915344,0.29500000178813934,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,25,2,0.8449166715145111,0.7245000004768372,0.7080000042915344,0.35199999809265137,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,30,2,0.8448333442211151,0.7245000004768372,0.7080000042915344,0.3489999920129776,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,40,2,0.8544166684150696,0.7245000004768372,0.7080000042915344,0.3700000047683716,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,50,2,0.8520833253860474,0.7245000004768372,0.7080000042915344,0.3699999898672104,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,60,2,0.8568333387374878,0.7245000004768372,0.7080000042915344,0.3879999965429306,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,75,2,0.8564999997615814,0.7335000038146973,0.7260000109672546,0.38099999725818634,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,100,2,0.8525833487510681,0.7240000069141388,0.7070000171661377,0.37299999594688416,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,125,2,0.8815000057220459,0.7534999847412109,0.7409999966621399,0.45350000262260437,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,6,150,2,0.8950833082199097,0.7554999887943268,0.7409999966621399,0.49800001084804535,False,exploratory,blocked: fewer than canonical-min-seeds
