K,condition,total_hidden_neurons,output_window_len,T,seed,worst_query_balanced_accuracy,mean_balanced_accuracy,exact_trial_accuracy,pooled_accuracy,routing_selectivity_gap,per_query_balanced_accuracy,per_output_window_hidden_spikes,delay_query_mean_steps,delay_query_std_steps,delay_query_schedule_mae_steps,run_dir,resource_latency_steps,resource_input_channels,resource_hidden_neurons_layer1,resource_hidden_neurons_layer2,resource_hidden_neurons_total,resource_output_neurons_or_logits,resource_spiking_neurons_total,resource_synapses_input_hidden,resource_synapses_hidden_hidden,resource_synapses_hidden_output,resource_delayed_synapses_total,resource_trainable_parameters,resource_parameter_tensors_total_elements,resource_synaptic_weight_storage_elements,resource_delay_value_storage_elements,resource_trainable_delay_parameters,resource_decoder_parameters,resource_decoder_trainable_parameters,resource_decoder_storage_elements,resource_model_scalar_storage_elements,resource_model_scalar_storage_bytes_fp32,resource_delay_buffer_depth,resource_delay_buffer_elements_per_sample,resource_delay_buffer_bytes_per_sample_fp32,resource_neuron_state_elements_per_sample,resource_neuron_state_bytes_per_sample_fp32,resource_neuron_updates_per_trial,resource_dense_synapse_macs_per_trial,resource_delay_buffer_reads_per_trial,resource_delay_interpolation_elementwise_ops_per_trial,resource_decoder_weight_macs_per_trial,resource_decoder_bias_adds_per_trial,resource_decoder_activation_ops_per_trial,resource_readout_accumulation_adds_per_trial,resource_observation_steps,resource_observation_bins,resource_readout_feature_dim,resource_mean_input_spikes_per_trial,resource_mean_hidden1_spikes_per_trial,resource_mean_hidden2_spikes_per_trial,resource_mean_output_spikes_per_trial,resource_mean_synaptic_events_input_hidden,resource_mean_synaptic_events_hidden_hidden,resource_mean_synaptic_events_hidden_output,resource_mean_synaptic_events_total
5,shared_temporal_oracle,120,8,50,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[3.24609375, 6.5234375, 5.82763671875, 6.9951171875, 6.62841796875]","[0.0, 8.0, 16.0, 24.0, 32.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T50_N120_w8_seed307,50,20,120,0,120,5,120,2400,0,0,2400,17041,17041,2400,2400,0,14641,14641,14641,19441,77764,33,660,2640,240,960,6000,120000,240000,360000,72600,605,600,4800,40,1,120,20.0,29.220703125,,,2400.0,0.0,0.0,2400.0
5,shared_temporal_oracle,160,4,30,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[3.42578125, 6.322265625, 6.57470703125, 7.7138671875, 7.65234375]","[0.0, 4.0, 8.0, 12.0, 16.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T30_N160_w4_seed307,30,20,160,0,160,5,160,3200,0,0,3200,29121,29121,3200,3200,0,25921,25921,25921,32321,129284,17,340,1360,320,1280,4800,96000,192000,288000,128800,805,800,3200,20,1,160,20.0,31.93896484375,,,3200.0,0.0,0.0,3200.0
5,shared_temporal_oracle,160,6,40,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[2.74658203125, 5.48779296875, 5.23974609375, 7.02978515625, 6.92578125]","[0.0, 6.0, 12.0, 18.0, 24.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T40_N160_w6_seed307,40,20,160,0,160,5,160,3200,0,0,3200,29121,29121,3200,3200,0,25921,25921,25921,32321,129284,25,500,2000,320,1280,6400,128000,256000,384000,128800,805,800,4800,30,1,160,20.0,27.6796875,,,3200.0,0.0,0.0,3200.0
5,shared_temporal_oracle,160,8,50,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[2.873046875, 5.173828125, 5.27880859375, 5.56005859375, 6.21630859375]","[0.0, 8.0, 16.0, 24.0, 32.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T50_N160_w8_seed307,50,20,160,0,160,5,160,3200,0,0,3200,29121,29121,3200,3200,0,25921,25921,25921,32321,129284,33,660,2640,320,1280,8000,160000,320000,480000,128800,805,800,6400,40,1,160,20.0,25.10205078125,,,3200.0,0.0,0.0,3200.0
5,shared_temporal_wad,40,4,30,307,0.5,0.698046875,0.19970703125,0.7470703125,0.19682617038488381,"[1.0, 0.990234375, 0.5, 0.5, 0.5]","[16.9072265625, 3.6416015625, 0.17431640625, 0.0, 0.0]","[1.733658790588379, 2.629661798477173, 2.1069531440734863, 2.0347201824188232, 3.1827480792999268]","[0.8403083086013794, 1.1307947635650635, 0.7864665389060974, 0.7722710967063904, 2.0836572647094727]",6.355915117263794,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_wad\K5\T30_N40_w4_seed307,30,20,40,0,40,5,40,800,0,0,800,3281,3281,800,800,800,1681,1681,1681,3281,13124,17,340,1360,80,320,1200,24000,48000,72000,8200,205,200,800,20,1,40,20.0,20.72314453125,,,800.0,0.0,0.0,800.0
5,shared_temporal_wad,40,6,40,307,0.5,0.6972005128860473,0.19873046875,0.7479492425918579,0.19604491591453554,"[0.99609375, 0.9899088144302368, 0.5, 0.5, 0.5]","[20.06201171875, 4.45849609375, 0.0, 0.0, 0.0]","[2.5730671882629395, 4.02903938293457, 3.1401326656341553, 2.991535186767578, 4.361762523651123]","[1.3480387926101685, 1.7719693183898926, 1.0652854442596436, 1.0225245952606201, 2.79567289352417]",9.610119485855103,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_wad\K5\T40_N40_w6_seed307,40,20,40,0,40,5,40,800,0,0,800,3281,3281,800,800,800,1681,1681,1681,3281,13124,25,500,2000,80,320,1600,32000,64000,96000,8200,205,200,1200,30,1,40,20.0,24.5205078125,,,800.0,0.0,0.0,800.0
5,shared_temporal_wad,40,8,50,307,0.5,0.6970703125,0.19921875,0.74853515625,0.1963704451918602,"[1.0, 0.9853515625, 0.5, 0.5, 0.5]","[22.25, 3.86474609375, 0.0, 0.0, 0.0]","[3.3502984046936035, 5.402638912200928, 3.7959465980529785, 3.8462932109832764, 4.023785591125488]","[1.5605319738388062, 2.1464381217956543, 1.110336422920227, 1.139158844947815, 1.2719942331314087]",13.256326818466187,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_wad\K5\T50_N40_w8_seed307,50,20,40,0,40,5,40,800,0,0,800,3281,3281,800,800,800,1681,1681,1681,3281,13124,33,660,2640,80,320,2000,40000,80000,120000,8200,205,200,1600,40,1,40,20.0,26.11474609375,,,800.0,0.0,0.0,800.0
5,shared_temporal_wad,80,4,30,307,0.5,0.6923177242279053,0.1982421875,0.745312511920929,0.1906575709581375,"[0.9837239980697632, 0.9778646230697632, 0.5, 0.5, 0.5]","[38.0458984375, 1.5966796875, 0.0, 0.0, 0.0]","[1.826150894165039, 2.2967352867126465, 2.046886444091797, 2.047328233718872, 2.1366732120513916]","[0.7271909713745117, 0.9529762864112854, 0.5340179204940796, 0.566556990146637, 0.7217939496040344]",6.659705543518067,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_wad\K5\T30_N80_w4_seed307,30,20,80,0,80,5,80,1600,0,0,1600,9761,9761,1600,1600,1600,6561,6561,6561,9761,39044,17,340,1360,160,640,2400,48000,96000,144000,32400,405,400,1600,20,1,80,20.0,39.642578125,,,1600.0,0.0,0.0,1600.0
5,shared_temporal_wad,80,6,40,307,0.5,0.6966145753860473,0.19970703125,0.746874988079071,0.19497069716453552,"[0.994140625, 0.9889322519302368, 0.5, 0.5, 0.5]","[36.7041015625, 3.9296875, 0.0, 0.0, 0.0]","[2.775176763534546, 3.646289110183716, 3.04789400100708, 3.151787042617798, 3.390693187713623]","[1.2379709482192993, 1.5344254970550537, 0.8332155346870422, 0.919413685798645, 1.4347795248031616]",9.907702684402466,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_wad\K5\T40_N80_w6_seed307,40,20,80,0,80,5,80,1600,0,0,1600,9761,9761,1600,1600,1600,6561,6561,6561,9761,39044,25,500,2000,160,640,3200,64000,128000,192000,32400,405,400,2400,30,1,80,20.0,40.6337890625,,,1600.0,0.0,0.0,1600.0
5,shared_temporal_wad,80,8,50,307,0.5,0.6973307371139527,0.19970703125,0.7481445074081421,0.19646810740232468,"[0.9973958730697632, 0.9892578125, 0.5, 0.5, 0.5]","[35.14111328125, 2.89111328125, 0.0, 0.0, 0.0]","[3.624539613723755, 4.794558525085449, 4.178394317626953, 4.119313716888428, 4.606754302978516]","[1.4522813558578491, 2.0121800899505615, 1.1590180397033691, 1.1000715494155884, 1.9897676706314087]",13.185103750228881,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_wad\K5\T50_N80_w8_seed307,50,20,80,0,80,5,80,1600,0,0,1600,9761,9761,1600,1600,1600,6561,6561,6561,9761,39044,33,660,2640,160,640,4000,80000,160000,240000,32400,405,400,3200,40,1,80,20.0,38.0322265625,,,1600.0,0.0,0.0,1600.0
