condition,endpoint,seed,pooled_accuracy,worst_accuracy,worst_balanced_accuracy,exact_trial_accuracy,routing_selectivity_gap,silent_rate,tie_rate,collision_rate,hidden_spikes,synaptic_events,neuron_updates,decoder_macs,delay_memory,truth_worst_balanced_accuracy,truth_exact_trial_accuracy
scalar,opponent_parallel,0,0.8953333497047424,0.8460000157356262,0.7400000095367432,0.6959999799728394,0.3593017160892486,0.1626666635274887,0.1693333387374878,0.006666666828095913,13.555999755859375,526.9359836578369,1120,0,2,0.75,0.703125
scalar,opponent_parallel,1,0.9300000071525574,0.8679999709129333,0.857758641242981,0.8019999861717224,0.39749757448832196,0.14866666495800018,0.16733333468437195,0.018666666001081467,14.303999900817871,537.524019241333,1120,0,2,0.859375,0.796875
scalar,opponent_parallel,42,0.9446666836738586,0.9100000262260437,0.8093219995498657,0.8339999914169312,0.40212443470954895,0.09399999678134918,0.09866666793823242,0.004666666500270367,14.494000434875488,538.1640110015869,1120,0,2,0.8125,0.8125
w_and_d,linear,0,0.9766666889190674,0.9300000071525574,0.9300000071525574,0.9300000071525574,0.4962355196475982,,,,7.552000045776367,445.59998512268066,1000,150,300,0.9375,0.9375
w_and_d,linear,1,0.9866666793823242,0.9599999785423279,0.9603705406188965,0.9599999785423279,0.49283241232236225,,,,10.972000122070312,451.7000198364258,1000,150,300,0.953125,0.953125
w_and_d,linear,42,0.996666669845581,0.9900000095367432,0.9788135290145874,0.9900000095367432,0.49642910559972125,,,,9.90999984741211,451.200008392334,1000,150,300,0.96875,0.984375
w_and_d,mlp,0,1.0,1.0,1.0,1.0,0.49777024487654364,,,,5.73199987411499,445.59998512268066,1000,2650,300,1.0,1.0
w_and_d,mlp,1,1.0,1.0,1.0,1.0,0.5031745930512745,,,,8.486000061035156,451.7000198364258,1000,2650,300,1.0,1.0
w_and_d,mlp,42,1.0,1.0,1.0,1.0,0.503991534312566,,,,9.965999603271484,451.200008392334,1000,2650,300,1.0,1.0
w_and_d,opponent_parallel,0,0.9393333196640015,0.8560000061988831,0.7120000123977661,0.8560000061988831,0.4296740194161733,0.10066666454076767,0.10066666454076767,0.0,14.178000450134277,530.6679878234863,1120,0,600,0.71875,0.859375
w_and_d,opponent_parallel,1,0.984000027179718,0.9620000123977661,0.9619467258453369,0.9520000219345093,0.47287657856941223,0.05133333429694176,0.05133333429694176,0.0,18.402000427246094,562.1120223999023,1120,0,600,0.953125,0.9375
w_and_d,opponent_parallel,42,0.9453333616256714,0.8759999871253967,0.7372881174087524,0.8539999723434448,0.4224475721518199,0.07466666400432587,0.0820000022649765,0.009999999776482582,16.781999588012695,551.8920059204102,1120,0,600,0.75,0.84375
