K,accuracy,arrival_auxiliary_weight,arrival_condition,balanced_accuracy,base_arrival_lambda,checkpoint_selection,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,delay_tying,encoding,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_fraction_within_tolerance,final_delay_max_error_steps,final_delay_max_steps,final_delay_mean_steps,final_delay_min_steps,fixed_delay_steps,full_batch_updates,gradient_clipping_flag,granularity,hidden_active_pattern_count,hidden_neurons,independent_delay_parameters,initial_delay_mean_steps,initial_raw,initial_task_arrival_gradient_conflict_fraction,initial_task_gradient_mean_abs,initial_task_gradient_norm,initial_total_gradient_correct_coordinate_fraction,initial_total_gradient_mean_abs,initial_total_gradient_nonzero_coordinate_fraction,initial_total_gradient_norm,initial_unweighted_arrival_gradient_mean_abs,initial_unweighted_arrival_gradient_norm,initial_weighted_arrival_gradient_mean_abs,initial_weighted_arrival_gradient_norm,input_events_per_trial,interface_pass,learned_delay,learned_delay_pass,mean_output_spikes_per_trial,minimum_clip_coefficient,normalization_factor,operation,protocol_id,seed,selection_role,silent_rate,stage,target_delay_steps,target_output_step,test_split_opened,weight_learning_rate
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,9.34600830078125e-05,3.9999747276306152,3.9999618530273438,3.999906539916992,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.5,0.00045933279056953324,0.0031128826186868847,1.0,0.02558706235140562,1.0,0.10239557698051877,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1123,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,5.4836273193359375e-05,3.9999852180480957,3.9999661445617676,3.9999451637268066,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.4375,0.0005816125449200626,0.0032659804716709865,1.0,0.025713262730278075,1.0,0.10290367153675829,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1229,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.00012493133544921875,3.999988079071045,3.9999589920043945,3.999875068664551,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.6875,0.0006470043799993164,0.003547055443335631,1.0,0.025138473138213158,1.0,0.10060036706289274,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1321,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,8.0108642578125e-05,3.9999780654907227,3.9999637603759766,3.999919891357422,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.625,0.0007451780509200034,0.003958262740051654,1.0,0.025600367807783186,1.0,0.10247793272626143,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1427,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,7.677078247070312e-05,3.999971389770508,3.999959945678711,3.9999232292175293,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.375,0.0004600488448431861,0.0023819170200596804,1.0,0.025662895175628364,1.0,0.10267877475081578,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1523,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,7.724761962890625e-05,4.000077247619629,4.00003719329834,4.000003337860107,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.6875,0.00023539195092325826,0.0020044195676778816,1.0,0.025468237581662834,1.0,0.10189154144477286,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1123,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,4.3392181396484375e-05,4.0000433921813965,4.0000319480896,4.000011444091797,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.5,9.666688799825351e-05,0.0005249195891299126,1.0,0.02560492546763271,1.0,0.10242102464022167,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1229,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,4.8160552978515625e-05,4.0000481605529785,4.000029563903809,4.00000524520874,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.5625,0.0002136850348790631,0.001239272741736866,1.0,0.025686795823276043,1.0,0.10275389677302671,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1321,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.003391265869140625,4.003391265869141,4.000842094421387,3.996676445007324,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.3125,0.0002530868289341015,0.0019264636699240943,1.0,0.02559891459532082,1.0,0.1024137696253806,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1427,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.16,per_hidden_coordinate_matched,1.0,0.01,final_only,0.0,True,per_hidden_coordinate_matched,1.0,0.01,post_neuron,single_event,True,4,True,1.0,5.626678466796875e-05,4.000056266784668,4.000032424926758,4.000010967254639,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.625,0.0002605833349136333,0.0021489397848470097,1.0,0.025513133499771357,1.0,0.10207471751437161,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,1523,r1_normalization,0.0,r1,4.0,15,False,0.01
