estimator_id,delay_gradient_mode,delay_gradient_sigma,intervention_rank,granularity,delay_tying,independent_delay_parameters,perturbation_delay_steps,seed,raw_gradient_mean,raw_gradient_min,raw_gradient_max,mean_gradient_target_directed,target_directed_coordinate_fraction,nonzero_coordinate_fraction,gradient_norm,exact_interface_patterns,forward_record_sha256,updates,test_split_opened
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,3.0,2503,-0.0009678372532562207,-0.0026885075494647026,0.0006079740123823285,True,0.9375,1.0,0.005051447130187016,0,dc39ec1223655fa33bff11fb4597aee825f695181608c44cbeb438f0741bc9cf,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,3.0,2521,-0.0007085900964511893,-0.002915676450356841,0.0019119068747386336,True,0.8125,1.0,0.004968433695874504,0,d80e98cf1cf5b1f2bdf4e1117e10e300dfb64e26f489fd9fe129e02699e5f718,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,3.0,2539,-0.0006445016051657149,-0.0032865554094314575,0.0016980493674054742,True,0.6875,1.0,0.005918567614261738,0,7bb18c9a45b3c6bc703b0d1a011c210254254aa21a8ad0ec9808daa6ef0c9bac,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,3.0,2551,-0.0006588991700482438,-0.002362147904932499,0.0016703688306733966,True,0.875,1.0,0.004397553805678018,0,871bf310077702dcd26e04cdbd9b32f10291a4a242a03d7297e4e048a58532af,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,3.0,2579,-0.0006911143693741906,-0.002404419705271721,0.00016421164036728442,True,0.875,1.0,0.004006614270558237,0,05d0d66945271e9f67582173e3f931f80a75bd351d39d6db4202cc86224c388a,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,5.0,2503,5.983180574276048e-05,-0.00018013533554039896,0.0004516231711022556,True,0.4375,1.0,0.0007447316593251554,0,871319ce6dd04193d50f062af62e6d1b894175587b491a8de14199ef9d7a9f75,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,5.0,2521,2.7197081067242834e-06,-0.00013169519661460072,0.00019307008187752217,True,0.375,1.0,0.0003912423711971323,0,3ee47cf1edc1477fc68ec5f9b662859ea113a5befc3f7d4d6ccf691241dcc534,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,5.0,2539,-2.5345307122393024e-05,-0.00018947830540128052,0.00041317346040159464,False,0.4375,1.0,0.0005860681689082478,0,4e0d766bc4db33e2aaaa812e8630fdbfde7d1b7a3b81635fcadc7550d48f9f48,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,5.0,2551,2.190198870266613e-06,-0.00029624527087435126,0.00017138991097453982,True,0.625,1.0,0.00048221018009404813,0,de2b17c8a956a9ce1746da7bc456c4f760b245508436af2bd652bf1d4d7ebe3e,0,False
symmetric_integer,symmetric_integer,0.75,1,per_hidden,post_neuron,16,5.0,2579,4.093726395471009e-05,-0.00018669033306650817,0.0004038926272187382,True,0.4375,1.0,0.0006084322752576187,0,8db5a2cf8b6dd11052cf1eb3fe50fffcc2192d74b4f04fe3f85c4e8c0cab4f99,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,3.0,2503,-0.013301377184689045,-0.013301377184689045,-0.013301377184689045,True,1.0,1.0,0.013301377184689045,0,dc39ec1223655fa33bff11fb4597aee825f695181608c44cbeb438f0741bc9cf,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,3.0,2521,-0.009738313965499401,-0.009738313965499401,-0.009738313965499401,True,1.0,1.0,0.009738313965499401,0,d80e98cf1cf5b1f2bdf4e1117e10e300dfb64e26f489fd9fe129e02699e5f718,0,False
