condition,time_bin,candidate_two_hop_mass,realized_output_arrival_mass
w_and_d,7,0.018702612577945504,0.0479420243189015
w_and_d,8,0.040170684103867926,0.020914980867974435
w_and_d,9,0.08376143134664736,0.061202678589395744
w_and_d,10,0.07484804513467459,0.12877331560478028
w_and_d,11,0.052886916976296834,0.044828599956879205
w_and_d,12,0.04425074286718457,0.027084132647987418
w_and_d,13,0.035702149727011634,0.049996624795824604
w_and_d,14,0.06333930657596777,0.04574057607446898
w_and_d,15,0.0665301837643848,0.02993007456772872
w_and_d,16,0.03455291105802946,0.028314801626777585
w_and_d,17,0.03818810183257514,0.0214366988163414
w_and_d,18,0.024923788839674096,0.03057444957457546
w_and_d,19,0.04130421714781723,0.0606575197201466
w_and_d,20,0.037376555119890666,0.052990313879781314
w_and_d,21,0.0247421178166514,0.00431811937735591
w_and_d,22,0.016714810819275037,0.023232909153278126
w_and_d,23,0.04262679043075221,0.05380578563984471
w_and_d,24,0.04517588173344777,0.016241036092274796
w_and_d,25,0.040765135416471227,0.0623759633967562
w_and_d,26,0.02657729612069891,0.009267084648174044
w_and_d,27,0.027653128340276837,0.0
w_and_d,28,0.016479283004732292,0.0
w_and_d,29,0.033245595899161616,0.02017333076179523
w_and_d,30,0.01470518360302044,0.07113347980932438
w_and_d,31,0.0074794233685848725,0.04607364934352966
w_and_d,32,0.0104711995079476,0.0
w_and_d,33,0.007296463142900729,0.0
w_and_d,34,0.005959213222753476,0.0
w_and_d,35,0.0,0.0
w_and_d,36,0.0,0.0
w_and_d,37,0.0,0.0
w_and_d,38,0.0,0.0
w_and_d,39,0.0,0.0
w_and_d,40,0.0,0.0
w_and_d,41,0.0,0.0
w_and_d,42,0.0,0.0
w_and_d,43,0.0,0.0
w_and_d,44,0.0,0.0
w_and_d,45,0.0,0.0
w_and_d,46,0.0,0.0
w_and_d,47,0.0,0.0
w_and_d,48,0.0,0.0
w_and_d,49,0.0,0.0
w_and_d,50,0.0,0.0
w_and_d,51,0.0,0.0
w_and_d,52,0.0,0.0
w_and_d,53,0.0,0.0
w_and_d,54,0.0,0.0
w_and_d,55,0.0,0.0
w_and_d,56,0.0,0.0
w_and_d,57,0.0,0.0
w_and_d,58,0.0,0.0
w_and_d,59,0.0,0.0
w_and_d,60,0.0,0.0
w_and_d,61,0.0,0.0
w_and_d,62,0.0,0.0
w_and_d,63,0.0,0.0
w_and_d,64,0.0,0.0
w_and_d,65,0.0,0.0
w_and_d,66,0.0,0.0
w_and_d,67,0.0,0.0
w_and_d,68,0.0,0.0
w_and_d,69,0.0,0.0
w_and_d,70,0.0,0.0
w_and_d,71,0.0,0.0
