condition,window,objective,loss,delay_ih_grad_norm,delay_ih_grad_nonzero_fraction,delay_ih_descent_effective_shift_mean,delay_ih_descent_increase_fraction,delay_ho_grad_norm,delay_ho_grad_nonzero_fraction,delay_ho_descent_effective_shift_mean,delay_ho_descent_increase_fraction,weight_ih_grad_norm,weight_ih_grad_nonzero_fraction,weight_ho_grad_norm,weight_ho_grad_nonzero_fraction
fixed_full_support,0,membrane,0.6895859837532043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037152498960494995,0.28999999165534973,0.018489627167582512,0.17000000178813934
fixed_full_support,0,combined,0.7817466855049133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337804675102234,0.28999999165534973,0.1006719246506691,0.18000000715255737
fixed_full_support,1,spike,0.49600058794021606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4282273054122925,0.596666693687439,0.1450507640838623,0.3700000047683716
fixed_full_support,1,membrane,0.5834907293319702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12018445134162903,0.5933333039283752,0.0578167587518692,0.3499999940395355
fixed_full_support,1,combined,0.6126987338066101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4354460835456848,0.596666693687439,0.15210449695587158,0.3700000047683716
fixed_full_support,2,spike,0.2699446976184845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48104122281074524,0.8533333539962769,0.12201579660177231,0.5400000214576721
fixed_full_support,2,membrane,0.4422154426574707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17319855093955994,0.8433333039283752,0.05969420447945595,0.5299999713897705
fixed_full_support,2,combined,0.3583877980709076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46671444177627563,0.8533333539962769,0.12733173370361328,0.5400000214576721
temporal_scaffold,0,spike,0.8132617473602295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4438399374485016,0.3333333432674408,0.14852552115917206,0.07999999821186066
temporal_scaffold,0,membrane,0.7724589109420776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010888698510825634,0.3333333432674408,0.055648110806941986,0.03999999910593033
temporal_scaffold,0,combined,0.967753529548645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44343262910842896,0.3333333432674408,0.15154887735843658,0.07999999821186066
temporal_scaffold,1,spike,0.4557187557220459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8455854654312134,0.6666666865348816,0.1954573392868042,0.20000000298023224
temporal_scaffold,1,membrane,0.5291716456413269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1431449055671692,0.6666666865348816,0.06403575092554092,0.14000000059604645
temporal_scaffold,1,combined,0.5615530610084534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8709588646888733,0.6666666865348816,0.20176365971565247,0.20000000298023224
temporal_scaffold,2,spike,0.34126946330070496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569196820259094,1.0,0.06349389255046844,0.46000000834465027
temporal_scaffold,2,membrane,0.4089532494544983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11530628055334091,1.0,0.030773021280765533,0.27000001072883606
temporal_scaffold,2,combined,0.4230601191520691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7373448014259338,1.0,0.06554930657148361,0.46000000834465027
w_and_d,0,spike,0.3651776909828186,0.3598026633262634,0.8533333539962769,-0.005645085126161575,0.44333332777023315,0.43657854199409485,0.6499999761581421,0.0221946332603693,0.3100000023841858,0.3379655182361603,0.8533333539962769,0.12752573192119598,0.6499999761581421
w_and_d,0,membrane,0.5023134350776672,0.10630812495946884,0.8299999833106995,-0.0004749441286548972,0.41333332657814026,0.13560228049755096,0.6100000143051147,0.009783033281564713,0.3499999940395355,0.08549255132675171,0.8299999833106995,0.045046303421258926,0.6100000143051147
w_and_d,0,combined,0.4656403660774231,0.37913742661476135,0.8533333539962769,-0.005740074906498194,0.44333332777023315,0.4587176740169525,0.6499999761581421,0.024151239544153214,0.3100000023841858,0.3532674014568329,0.8533333539962769,0.13500139117240906,0.6499999761581421
w_and_d,1,spike,0.35000377893447876,0.5674163699150085,1.0,0.02815433219075203,0.4633333384990692,0.34263065457344055,0.699999988079071,0.036803796887397766,0.3799999952316284,1.1675059795379639,1.0,0.16619068384170532,0.699999988079071
w_and_d,1,membrane,0.4721595048904419,0.19936883449554443,1.0,0.0034511813428252935,0.4000000059604645,0.299216091632843,0.6600000262260437,-0.02391747198998928,0.33000001311302185,0.2819576859474182,1.0,0.05581958591938019,0.6600000262260437
w_and_d,1,combined,0.4444356858730316,0.5993465781211853,1.0,0.028844572603702545,0.46666666865348816,0.31185442209243774,0.699999988079071,0.032020293176174164,0.3799999952316284,1.223156452178955,1.0,0.1750483214855194,0.699999988079071
w_and_d,2,spike,0.562561571598053,1.1314724683761597,1.0,-0.057695940136909485,0.5400000214576721,0.22600895166397095,0.6499999761581421,-0.011209548451006413,0.3199999928474426,0.9685798287391663,1.0,0.17704428732395172,0.6499999761581421
w_and_d,2,membrane,0.5918760895729065,0.3341767489910126,1.0,-0.0188666470348835,0.476666659116745,0.36607298254966736,0.6499999761581421,-0.036510366946458817,0.27000001072883606,0.33009588718414307,1.0,0.06513321399688721,0.6499999761581421
w_and_d,2,combined,0.6809368133544922,1.1954100131988525,1.0,-0.06146927550435066,0.550000011920929,0.2925355136394501,0.6499999761581421,-0.018511613830924034,0.3199999928474426,1.029994249343872,1.0,0.18696768581867218,0.6499999761581421
