cell,hidden_size,seed,final_category,checkpoint,A,B,pattern,target_class,logit,prediction,classification_correct,output_class0_spikes,output_class1_spikes,total_output_spikes,interface_status,valid_one_target_spike,target_time,target_time_correct_spike,target_time_wrong_spike,correct_spike_times,wrong_spike_times,target_time_correct_voltage,target_time_wrong_voltage,correct_threshold_margin,wrong_suppression_margin,class_voltage_separation,correct_peak_time,wrong_peak_time,correct_peak_voltage,wrong_peak_voltage,correct_peak_threshold_margin,wrong_global_suppression_margin,target_time_correct_current,target_time_wrong_current,hidden_spikes_total,active_hidden_neurons,causal_hidden_spikes_at_t_minus_1
h8_seed509,8,509,successful,best,1,1,11,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.05943281948566437,-0.013302761130034924,0.02943281948566437,0.04330276113003492,0.07273558061569929,11,0,0.05943281948566437,0.0,0.02943281948566437,0.03,0.624539852142334,-0.13978984951972961,1.0,1,1.0
h8_seed509,8,509,successful,last,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.045159511268138885,-0.1844085156917572,0.015159511268138887,0.2144085156917572,0.2295680269598961,11,0,0.045159511268138885,0.0,0.015159511268138887,0.03,0.4745512008666992,-1.937826156616211,3.0,3,3.0
h8_seed509,8,509,successful,last,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.1556800752878189,-0.1808336228132248,0.1256800752878189,0.2108336228132248,0.3365136981010437,11,0,0.1556800752878189,0.0,0.1256800752878189,0.03,1.6359381675720215,-1.9002599716186523,2.0,2,2.0
h8_seed509,8,509,successful,last,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.03193759545683861,-0.18917235732078552,0.001937595456838609,0.21917235732078552,0.22110995277762413,11,0,0.03193759545683861,0.0,0.001937595456838609,0.03,0.33561089634895325,-1.9878861904144287,2.0,2,2.0
h8_seed509,8,509,successful,last,1,1,11,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.10012850910425186,-0.05482761934399605,0.07012850910425186,0.08482761934399605,0.1549561284482479,11,0,0.10012850910425186,0.0,0.07012850910425186,0.03,1.052183747291565,-0.5761469006538391,1.0,1,1.0
h12_seed107,12,107,successful,best,0,0,00,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h12_seed107,12,107,successful,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.11519769579172134,-0.053962353616952896,0.08519769579172135,0.0839623536169529,0.16916004940867424,11,0,0.11519769579172134,0.0,0.08519769579172135,0.03,1.2105357646942139,-0.5670543909072876,2.0,2,2.0
h12_seed107,12,107,successful,best,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.04168740287423134,0.006082556210458279,0.01168740287423134,0.02391744378954172,0.03560484666377306,11,11,0.04168740287423134,0.006082556210458279,0.01168740287423134,0.02391744378954172,0.4380651116371155,0.06391752511262894,1.0,1,1.0
h12_seed107,12,107,successful,best,1,1,11,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.0629696324467659,-0.052279774099588394,0.0329696324467659,0.08227977409958839,0.1152494065463543,11,0,0.0629696324467659,0.0,0.0329696324467659,0.03,0.6617058515548706,-0.5493732690811157,1.0,1,1.0
h12_seed107,12,107,successful,last,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.041565194725990295,-0.07283690571784973,0.011565194725990297,0.10283690571784973,0.11440210044384003,11,0,0.041565194725990295,0.0,0.011565194725990297,0.03,0.4367809295654297,-0.7653944492340088,1.0,1,1.0
h12_seed107,12,107,successful,last,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.17783844470977783,-0.14991477131843567,0.14783844470977783,0.17991477131843567,0.3277532160282135,11,0,0.17783844470977783,0.0,0.14783844470977783,0.03,1.8687856197357178,-1.5753543376922607,2.0,2,2.0
h12_seed107,12,107,successful,last,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.10525356233119965,-0.058348219841718674,0.07525356233119965,0.08834821984171867,0.16360178217291832,11,0,0.10525356233119965,0.0,0.07525356233119965,0.03,1.1060395240783691,-0.6131425499916077,1.0,1,1.0
h12_seed107,12,107,successful,last,1,1,11,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.10562050342559814,-0.10706356167793274,0.07562050342559815,0.13706356167793274,0.21268406510353088,11,0,0.10562050342559814,0.0,0.07562050342559815,0.03,1.1098954677581787,-1.1250596046447754,1.0,1,1.0
h12_seed211,12,211,collision,best,0,0,00,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h12_seed211,12,211,collision,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.09126550704240799,-0.07176785171031952,0.06126550704240799,0.10176785171031952,0.1630333587527275,11,0,0.09126550704240799,0.0,0.06126550704240799,0.03,0.959048330783844,-0.7541605234146118,4.0,4,4.0
h12_seed211,12,211,collision,best,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.1112283319234848,0.02949443832039833,0.0812283319234848,0.0005055616796016682,0.08173389360308647,11,11,0.1112283319234848,0.02949443832039833,0.0812283319234848,0.0005055616796016682,1.1350466012954712,0.0827576071023941,3.0,3,2.0
h12_seed211,12,211,collision,best,1,1,11,0,0.0,0,True,1.0,1.0,2.0,collision,False,11,1.0,0.0,11,10,0.030552133917808533,0.0,0.0005521339178085338,0.03,0.030552133917808533,11,10,0.030552133917808533,0.07794564962387085,0.0005521339178085338,-0.04794564962387085,0.19955338537693024,0.35329797863960266,3.0,3,1.0
h12_seed211,12,211,collision,last,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.042275190353393555,-0.12232859432697296,0.012275190353393556,0.15232859432697296,0.16460378468036652,11,0,0.042275190353393555,0.0,0.012275190353393556,0.03,0.44424179196357727,-1.285469651222229,2.0,2,2.0
