complete,convergence_step,direct_delay_supervision,final_delay_steps,final_loss,final_nominal_delay_error_steps,final_normalized_trace_w1_steps,final_output_trace_mass,final_raw_gradient,final_trace_centroid,final_trace_centroid_error_steps,initial_delay_jacobian,initial_delay_space_gradient,initial_delay_steps,initial_normalized_trace_w1_steps,initial_output_trace_mass,initial_parameter_value,initial_raw_gradient,initial_trace_centroid,initialization_label_raw,learning_rate,maximum_hard_spike_count,objective,objective_role,optimizer_steps,parameterization,path,path_valid,protocol_id,recovered_within_0p1_w1_step,stochastic_seed,target_arrival_step,target_nominal_delay_steps,target_trace_centroid,test_split_opened
True,,False,5.999746322631836,0.5283192992210388,0.9997463226318359,0.6225197315216064,0.5034266114234924,-0.012823222205042839,11.603124618530273,0.6225223541259766,1.0,0.02599123679101467,7.046376705169678,1.2535488605499268,0.4485114812850952,7.0463766238230585,0.02599123679101467,12.234150886535645,2.0,0.01,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,10.980602264404297,False
True,,False,6.401641845703125,0.5326012969017029,1.401641845703125,0.8506303429603577,0.4824383556842804,0.01115696132183075,11.831233024597168,0.8506307601928711,1.0,0.033169154077768326,7.856110095977783,1.724802851676941,0.40177449584007263,7.856110320303268,0.033169154077768326,12.705405235290527,4.0,0.01,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,10.980602264404297,False
True,,False,2.125279664993286,0.7947662472724915,4.874720335006714,3.110436201095581,0.662743091583252,-0.0943598672747612,9.099679946899414,3.110438346862793,1.0,-0.10121852904558182,0.1438896805047989,4.474946975708008,0.7233439683914185,0.14388967969673247,-0.10121852904558182,7.735168933868408,-4.0,0.01,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,10,7.0,12.210118293762207,False
True,,False,2.93088698387146,0.7183648943901062,4.06911301612854,2.57014799118042,0.6345400810241699,-0.09536278247833252,9.639968872070312,2.5701494216918945,1.0,-0.09960603713989258,0.953623354434967,3.9075746536254883,0.7001349925994873,0.9536233761769404,-0.09960603713989258,8.302542686462402,-2.0,0.01,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,10,7.0,12.210118293762207,False
True,,False,5.9186201095581055,0.4756212830543518,1.0813798904418945,0.6618328094482422,0.5072604417800903,-0.07342199981212616,11.548284530639648,0.6618337631225586,1.0,-0.07949798554182053,4.0,1.8678443431854248,0.5934302806854248,4.0,-0.07949798554182053,10.342273712158203,0.0,0.01,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,10,7.0,12.210118293762207,False
True,0,False,8.0,0.4074512720108032,1.0,0.5907449722290039,0.39346927404403687,0.0,12.800862312316895,0.5907440185546875,1.0,-0.010924465022981167,7.046376705169678,0.024034574627876282,0.4485114812850952,7.0463766238230585,-0.010924465022981167,12.234150886535645,2.0,0.01,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,10,7.0,12.210118293762207,False
True,,False,8.0,0.4074512720108032,1.0,0.5907449722290039,0.39346927404403687,0.0,12.800862312316895,0.5907440185546875,1.0,-0.013480777852237225,7.856110095977783,0.4952884316444397,0.40177449584007263,7.856110320303268,-0.013480777852237225,12.705405235290527,4.0,0.01,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,10,7.0,12.210118293762207,False
True,15,False,2.0089149475097656,0.729912519454956,1.0089149475097656,0.6892381906509399,0.666816771030426,0.010618912987411022,9.02541732788086,0.6892385482788086,1.0,-0.03407888859510422,0.1438896805047989,0.6010092496871948,0.7233439683914185,0.14388967969673247,-0.03407888859510422,7.735168933868408,-4.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,4,1.0,8.33617877960205,False
True,0,False,2.00183367729187,0.7298373579978943,1.0018336772918701,0.6847478151321411,0.6670646071434021,0.010610218159854412,9.020927429199219,0.684748649597168,1.0,-0.03536739945411682,0.953623354434967,0.033636875450611115,0.7001349925994873,0.9536233761769404,-0.03536739945411682,8.302542686462402,-2.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,4,1.0,8.33617877960205,False
True,,False,2.0078535079956055,0.7299011945724487,1.0078535079956055,0.6885647177696228,0.6668539047241211,0.010617602616548538,9.024744033813477,0.6885652542114258,1.0,0.03370393440127373,4.0,2.0060932636260986,0.5934302806854248,4.0,0.03370393440127373,10.342273712158203,0.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,4,1.0,8.33617877960205,False
